"","Scenario","Location","Vegetation","Year","Decade","Avg"
"4270","SRES A1B","Northwest Interior Forest North","Deciduous",2046,2040,265855
"4271","SRES A1B","Northwest Interior Forest North","Deciduous",2047,2040,266464
"4272","SRES A1B","Northwest Interior Forest North","Deciduous",2048,2040,267196
"4273","SRES A1B","Northwest Interior Forest North","Deciduous",2049,2040,265877
"4274","SRES A1B","Northwest Interior Forest North","Deciduous",2050,2050,264663
"4275","SRES A1B","Northwest Interior Forest North","Deciduous",2051,2050,263950
"4276","SRES A1B","Northwest Interior Forest North","Deciduous",2052,2050,263290
"4277","SRES A1B","Northwest Interior Forest North","Deciduous",2053,2050,263939
"4278","SRES A1B","Northwest Interior Forest North","Deciduous",2054,2050,262133
"4279","SRES A1B","Northwest Interior Forest North","Deciduous",2055,2050,265207
"4280","SRES A1B","Northwest Interior Forest North","Deciduous",2056,2050,275616
"4281","SRES A1B","Northwest Interior Forest North","Deciduous",2057,2050,274838
"4282","SRES A1B","Northwest Interior Forest North","Deciduous",2058,2050,275361
"4283","SRES A1B","Northwest Interior Forest North","Deciduous",2059,2050,275466
"4284","SRES A1B","Northwest Interior Forest North","Deciduous",2060,2060,274815
"4285","SRES A1B","Northwest Interior Forest North","Deciduous",2061,2060,273527
"4286","SRES A1B","Northwest Interior Forest North","Deciduous",2062,2060,272497
"4287","SRES A1B","Northwest Interior Forest North","Deciduous",2063,2060,272021
"4288","SRES A1B","Northwest Interior Forest North","Deciduous",2064,2060,277706
"4289","SRES A1B","Northwest Interior Forest North","Deciduous",2065,2060,275886
"4290","SRES A1B","Northwest Interior Forest North","Deciduous",2066,2060,275663
"4291","SRES A1B","Northwest Interior Forest North","Deciduous",2067,2060,277812
"4292","SRES A1B","Northwest Interior Forest North","Deciduous",2068,2060,280551
"4293","SRES A1B","Northwest Interior Forest North","Deciduous",2069,2060,278499
"4294","SRES A1B","Northwest Interior Forest North","Deciduous",2070,2070,281698
"4295","SRES A1B","Northwest Interior Forest North","Deciduous",2071,2070,279661
"4296","SRES A1B","Northwest Interior Forest North","Deciduous",2072,2070,277668
"4297","SRES A1B","Northwest Interior Forest North","Deciduous",2073,2070,276468
"4298","SRES A1B","Northwest Interior Forest North","Deciduous",2074,2070,279710
"4299","SRES A1B","Northwest Interior Forest North","Deciduous",2075,2070,281167
"4300","SRES A1B","Northwest Interior Forest North","Deciduous",2076,2070,280588
"4301","SRES A1B","Northwest Interior Forest North","Deciduous",2077,2070,279641
"4302","SRES A1B","Northwest Interior Forest North","Deciduous",2078,2070,282577
"4303","SRES A1B","Northwest Interior Forest North","Deciduous",2079,2070,281156
"4304","SRES A1B","Northwest Interior Forest North","Deciduous",2080,2080,282701
"4305","SRES A1B","Northwest Interior Forest North","Deciduous",2081,2080,283212
"4306","SRES A1B","Northwest Interior Forest North","Deciduous",2082,2080,287679
"4307","SRES A1B","Northwest Interior Forest North","Deciduous",2083,2080,290118
"4308","SRES A1B","Northwest Interior Forest North","Deciduous",2084,2080,289213
"4309","SRES A1B","Northwest Interior Forest North","Deciduous",2085,2080,289666
"4310","SRES A1B","Northwest Interior Forest North","Deciduous",2086,2080,289007
"4311","SRES A1B","Northwest Interior Forest North","Deciduous",2087,2080,287193
"4312","SRES A1B","Northwest Interior Forest North","Deciduous",2088,2080,285121
"4313","SRES A1B","Northwest Interior Forest North","Deciduous",2089,2080,284205
"4314","SRES A1B","Northwest Interior Forest North","Deciduous",2090,2090,286500
"4315","SRES A1B","Northwest Interior Forest North","Deciduous",2091,2090,287217
"4316","SRES A1B","Northwest Interior Forest North","Deciduous",2092,2090,289128
"4317","SRES A1B","Northwest Interior Forest North","Deciduous",2093,2090,289041
"4318","SRES A1B","Northwest Interior Forest North","Deciduous",2094,2090,287861
"4319","SRES A1B","Northwest Interior Forest North","Deciduous",2095,2090,293597
"4320","SRES A1B","Northwest Interior Forest North","Deciduous",2096,2090,292961
"4321","SRES A1B","Northwest Interior Forest North","Deciduous",2097,2090,295893
"4322","SRES A1B","Northwest Interior Forest North","Deciduous",2098,2090,295227
"4323","SRES A1B","Northwest Interior Forest North","Deciduous",2099,2090,294466
"4324","SRES A1B","Northwest Interior Forest North","Deciduous",2100,2100,297180
"4325","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2009,2000,13117
"4326","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2010,2010,13050
"4327","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2011,2010,12976
"4328","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2012,2010,12802
"4329","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2013,2010,12620
"4330","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2014,2010,12628
"4331","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2015,2010,12487
"4332","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2016,2010,12402
"4333","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2017,2010,12143
"4334","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2018,2010,12056
"4335","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2019,2010,11851
"4336","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2020,2020,11683
"4337","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2021,2020,11579
"4338","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2022,2020,11574
"4339","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2023,2020,11444
"4340","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2024,2020,11245
"4341","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2025,2020,11242
"4342","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2026,2020,11246
"4343","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2027,2020,11091
"4344","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2028,2020,10970
"4345","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2029,2020,10832
"4346","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2030,2030,10694
"4347","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2031,2030,10550
"4348","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2032,2030,10356
"4349","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2033,2030,10302
"4350","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2034,2030,10117
"4351","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2035,2030,9993
"4352","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2036,2030,10232
"4353","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2037,2030,10074
"4354","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2038,2030,9927
"4355","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2039,2030,9819
"4356","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2040,2040,9806
"4357","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2041,2040,9654
"4358","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2042,2040,9586
"4359","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2043,2040,9434
"4360","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2044,2040,9287
"4361","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2045,2040,9127
"4362","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2046,2040,8981
"4363","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2047,2040,8811
"4364","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2048,2040,8664
"4365","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2049,2040,8582
"4366","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2050,2050,8455
"4367","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2051,2050,8300
"4368","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2052,2050,8129
"4369","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2053,2050,7986
"4370","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2054,2050,7841
"4371","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2055,2050,7744
"4372","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2056,2050,7714
"4373","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2057,2050,7587
"4374","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2058,2050,7435
"4375","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2059,2050,7291
"4376","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2060,2060,7142
"4377","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2061,2060,6990
"4378","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2062,2060,6916
"4379","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2063,2060,6813
"4380","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2064,2060,6807
"4381","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2065,2060,6708
"4382","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2066,2060,6613
"4383","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2067,2060,6535
"4384","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2068,2060,6474
"4385","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2069,2060,6357
"4386","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2070,2070,6323
"4387","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2071,2070,6227
"4388","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2072,2070,6088
"4389","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2073,2070,5952
"4390","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2074,2070,5843
"4391","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2075,2070,5729
"4392","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2076,2070,5593
"4393","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2077,2070,5509
"4394","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2078,2070,5466
"4395","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2079,2070,5373
"4396","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2080,2080,5289
"4397","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2081,2080,5191
"4398","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2082,2080,5140
"4399","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2083,2080,5054
"4400","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2084,2080,4995
"4401","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2085,2080,4931
"4402","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2086,2080,4854
"4403","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2087,2080,4786
"4404","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2088,2080,4727
"4405","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2089,2080,4645
"4406","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2090,2090,4583
"4407","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2091,2090,4537
"4408","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2092,2090,4523
"4409","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2093,2090,4481
"4410","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2094,2090,4414
"4411","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2095,2090,4418
"4412","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2096,2090,4358
"4413","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2097,2090,4346
"4414","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2098,2090,4278
"4415","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2099,2090,4221
"4416","SRES A1B","Northwest Interior Forest North","Graminoid Tundra",2100,2100,4207
"4417","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2009,2000,15272
"4418","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2010,2010,15303
"4419","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2011,2010,15191
"4420","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2012,2010,15103
"4421","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2013,2010,15057
"4422","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2014,2010,14914
"4423","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2015,2010,14825
"4424","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2016,2010,14811
"4425","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2017,2010,14807
"4426","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2018,2010,14690
"4427","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2019,2010,14554
"4428","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2020,2020,14505
"4429","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2021,2020,14500
"4430","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2022,2020,14502
"4431","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2023,2020,14605
"4432","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2024,2020,14689
"4433","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2025,2020,14550
"4434","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2026,2020,14552
"4435","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2027,2020,14691
"4436","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2028,2020,14804
"4437","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2029,2020,14893
"4438","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2030,2030,15018
"4439","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2031,2030,15112
"4440","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2032,2030,15184
"4441","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2033,2030,15174
"4442","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2034,2030,15209
"4443","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2035,2030,15320
"4444","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2036,2030,14997
"4445","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2037,2030,14958
"4446","SRES A1B","Northwest Interior Forest North","Shrub Tundra",2038,2030,15068
